DATE,AAA,BAA,DGS30,MORTGAGE30US,aaa_baa_spread,mortgage_treasury_spread
1986-08-31,8.72,10.18,7.326190476190476,10.2,1.459999999999999,2.8738095238095234
1986-09-30,8.89,10.2,7.62047619047619,10.0075,1.3099999999999987,2.38702380952381
1986-10-31,8.86,10.24,7.695454545454546,9.974,1.3800000000000008,2.278545454545454
1986-11-30,8.68,10.07,7.515000000000001,9.695,1.3900000000000006,2.1799999999999997
1986-12-31,8.49,9.97,7.371363636363636,9.31,1.4800000000000004,1.9386363636363644
1987-01-31,8.36,9.72,7.386,9.203999999999999,1.3600000000000012,1.8179999999999987
1987-02-28,8.38,9.65,7.539999999999999,9.0825,1.2699999999999996,1.5425000000000004
1987-03-31,8.36,9.61,7.551363636363636,9.035,1.25,1.4836363636363643
1987-04-30,8.85,10.04,8.252380952380953,9.8325,1.1899999999999995,1.5801190476190463
1987-05-31,9.33,10.51,8.78,10.596,1.1799999999999997,1.8160000000000007
1987-06-30,9.32,10.52,8.569545454545455,10.5375,1.1999999999999993,1.9679545454545444
1987-07-31,9.42,10.61,8.635909090909092,10.278,1.1899999999999995,1.6420909090909088
1987-08-31,9.67,10.8,8.97,10.33,1.1300000000000008,1.3599999999999994
1987-09-30,10.18,11.31,9.591904761904763,10.8875,1.1300000000000008,1.2955952380952365
1987-10-31,10.52,11.62,9.614285714285714,11.26,1.0999999999999996,1.645714285714286
1987-11-30,10.01,11.23,8.952105263157895,10.65,1.2200000000000006,1.6978947368421053
1987-12-31,10.11,11.29,9.120000000000001,10.64,1.1799999999999997,1.5199999999999996
1988-01-31,9.88,11.07,8.826315789473684,10.3825,1.1899999999999995,1.5561842105263164
1988-02-29,9.4,10.62,8.431999999999999,9.8925,1.2199999999999989,1.4605000000000015
1988-03-31,9.39,10.57,8.630869565217392,9.93,1.1799999999999997,1.299130434782608
1988-04-30,9.67,10.9,8.9525,10.202,1.2300000000000004,1.2494999999999994
1988-05-31,9.9,11.04,9.231904761904762,10.455,1.1399999999999988,1.2230952380952385
1988-06-30,9.86,11.0,8.997727272727273,10.46,1.1400000000000006,1.4622727272727278
1988-07-31,9.96,11.11,9.14,10.432,1.1499999999999986,1.2919999999999998
1988-08-31,10.11,11.21,9.315652173913042,10.5975,1.1000000000000014,1.281847826086958
1988-09-30,9.82,10.9,9.055714285714286,10.48,1.08,1.4242857142857144
1988-10-31,9.51,10.41,8.8945,10.3025,0.9000000000000004,1.4079999999999995
1988-11-30,9.45,10.48,9.020999999999999,10.265,1.0300000000000011,1.2440000000000015
1988-12-31,9.57,10.65,9.005238095238095,10.612,1.08,1.606761904761905
1989-01-31,9.62,10.65,8.927,10.73,1.0300000000000011,1.8030000000000008
1989-02-28,9.64,10.61,9.01,10.645,0.9699999999999989,1.6349999999999998
1989-03-31,9.8,10.67,9.165454545454546,11.032,0.8699999999999992,1.866545454545454
1989-04-30,9.79,10.61,9.025,11.05,0.8200000000000003,2.0250000000000004
1989-05-31,9.57,10.46,8.832272727272727,10.7725,0.8900000000000006,1.9402272727272738
1989-06-30,9.1,10.03,8.266363636363637,10.196,0.9299999999999997,1.9296363636363623
